time,x,y,z
6.103,0.09,0.26,3.91
6.111,0.06,0.15,4.07
6.120,-0.93,0.06,4.29
6.128,-1.05,0.22,4.37
6.137,-0.62,0.67,4.37
6.145,0.30,0.98,4.38
6.153,1.50,1.30,4.56
6.162,1.45,1.18,4.70
6.170,2.67,1.34,5.01
6.181,3.27,1.24,5.21
6.187,3.19,1.17,5.25
6.197,2.78,1.47,5.22
6.215,2.66,2.14,5.06
6.216,2.10,2.83,4.86
6.222,2.00,2.73,4.94
6.235,1.63,3.29,4.61
6.239,1.45,3.57,4.23
6.257,1.46,3.82,3.76
6.259,1.47,3.90,3.10
6.262,1.70,3.74,3.22
6.274,1.71,3.78,3.17
6.279,3.27,3.20,0.71
6.289,7.16,-0.34,-13.12
6.296,4.47,-4.14,-13.63
6.305,1.37,-2.72,5.71
6.313,1.63,-0.27,15.30
6.321,1.57,-0.25,15.25
6.329,-1.40,1.38,11.78
6.338,0.65,1.63,0.31
6.351,4.72,-0.41,-3.13
6.354,3.62,-1.91,0.74
6.367,1.06,-2.21,2.14
6.371,1.16,-2.11,2.02
6.380,2.78,-2.86,2.98
6.389,4.50,-3.70,1.53
6.397,3.50,-3.54,0.63
6.406,1.30,-2.71,1.16
6.413,-0.40,-2.09,1.78
6.422,-0.37,-2.00,1.64
6.430,-1.08,-1.66,1.92
6.438,-0.59,-1.57,1.69
6.447,-0.03,-1.42,1.39
6.456,0.59,-1.25,1.04
6.464,0.98,-1.02,1.04
6.472,0.97,-0.98,1.25
6.482,0.99,-0.90,1.10
6.490,0.86,-0.93,1.20
6.500,0.71,-0.95,0.95
6.515,0.44,-0.88,0.81
6.517,0.46,-0.71,0.63
6.523,0.79,-0.49,0.28
6.532,0.79,-0.43,0.13
6.539,1.00,-0.33,-0.08
6.548,0.77,-0.43,0.20
6.556,0.35,-0.70,0.79
6.565,0.09,-0.73,1.13
6.573,-0.27,-0.67,1.37
6.582,-0.30,-0.64,1.26
6.590,-0.90,-0.51,1.45
6.600,-1.71,-0.29,1.53
6.606,-2.19,0.08,1.33
6.617,-2.57,0.34,0.73
6.623,-3.01,0.23,-0.02
6.651,-3.02,0.25,-0.15
6.652,-3.57,0.20,-0.83
6.653,-3.52,0.24,-1.02
6.660,-2.27,0.53,-0.37
6.667,-1.85,0.69,-0.41
6.674,-1.46,0.72,-0.27
6.683,-1.41,0.74,-0.40
