time,x,y,z
6.278,0.16,3.26,-0.46
6.286,0.65,1.55,-1.66
6.294,1.46,-0.32,-3.39
6.303,3.12,-2.55,-6.26
6.311,3.12,-2.51,-6.33
6.319,4.62,-4.82,-10.36
6.328,5.31,-6.78,-13.00
6.336,4.59,-8.15,-12.53
6.347,3.08,-7.82,-10.13
6.353,1.65,-5.50,-7.64
6.382,1.65,-5.53,-7.51
6.384,0.54,-2.27,-5.51
6.385,-0.05,1.17,-3.73
6.387,-0.04,4.25,-1.97
6.397,0.41,6.28,-0.92
6.403,0.42,6.48,-1.68
6.415,0.26,5.40,-1.68
6.420,0.24,5.37,-1.66
6.430,0.76,4.26,3.31
6.437,1.97,2.89,8.52
6.446,3.36,0.36,9.70
6.454,3.98,-3.05,7.02
6.463,4.76,-6.18,3.40
6.473,4.77,-6.14,3.37
6.479,5.64,-7.09,2.76
6.492,5.55,-5.86,3.71
6.508,3.42,-2.77,6.04
6.509,1.42,0.21,6.43
6.534,-0.37,2.03,5.99
6.536,-0.37,2.04,5.94
6.537,-1.94,2.70,6.17
6.538,-2.55,2.48,6.87
6.546,-2.68,1.92,7.87
6.555,-2.17,1.46,8.57
6.563,-1.26,0.63,8.53
6.571,-1.16,0.71,8.40
6.579,-0.06,-0.49,8.20
6.588,0.88,-2.47,7.32
6.596,1.13,-5.09,5.96
6.604,-0.06,-7.16,4.18
6.613,-2.01,-7.89,1.95
6.621,-2.00,-7.83,1.75
6.631,-3.12,-6.71,-0.23
6.648,-2.85,-4.40,-1.18
6.649,-2.28,-2.14,-1.07
6.656,-1.77,-0.52,-0.43
6.664,-0.89,0.66,0.34
6.673,0.06,1.40,0.56
6.681,0.08,1.42,0.44
6.689,0.39,1.81,0.17
6.698,0.79,2.45,0.14
6.706,0.91,2.45,-0.06
6.714,0.58,1.97,0.11
6.723,-0.00,1.33,0.52
